"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "HTML", "JavaScript JSX", "CSS", "SCSS", "Properties", "comment", "blank", "total"
"d:\Eduardo\Solv\demos\vile-front\vile-admin\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"d:\Eduardo\Solv\demos\vile-front\vile-admin\CHANGELOG.md", "Markdown", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 224
"d:\Eduardo\Solv\demos\vile-front\vile-admin\Documentation\documentation.html", "HTML", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 10, 2, 171
"d:\Eduardo\Solv\demos\vile-front\vile-admin\ISSUE_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 14
"d:\Eduardo\Solv\demos\vile-front\vile-admin\README.md", "Markdown", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 130
"d:\Eduardo\Solv\demos\vile-front\vile-admin\github-assets\react.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Eduardo\Solv\demos\vile-front\vile-admin\jsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Eduardo\Solv\demos\vile-front\vile-admin\package.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"d:\Eduardo\Solv\demos\vile-front\vile-admin\public\index.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 28, 1, 68
"d:\Eduardo\Solv\demos\vile-front\vile-admin\public\manifest.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\RestControllers\Controller.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\api\api.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 15, 50
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\css\paper-dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 13992, 0, 0, 389, 1746, 16127
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\css\paper-dashboard.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 28, 1, 35
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\demo\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 28, 180
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\demo\demo.js", "JavaScript", 0, 0, 2326, 0, 0, 0, 0, 0, 0, 0, 38, 177, 2541
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 2, 10, 50
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 20, 16, 102
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 13, 75
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_animated-buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 1, 11, 72
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_badges.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 1, 8, 76
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 4, 27, 272
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 28, 141
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 2, 16
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_checkboxes-radio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 19, 143
"d:\Eduardo\Solv\demos\vile-front\vile-admin\src\assets\scss\paper-dashboard\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 422, 0, 5, 54, 481
